sample_id,group_id,image_path,center_x,center_y
Plate01_2012-06-11_88,gi-765,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1CD-SlaGSacT-2012-06-11/Meas_01(2012-06-11_13-08-55)/MID-C2-016021000-0003.tif,243,89
Plate01_2012-06-11_89,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0001.tif,528,21
Plate01_2012-06-11_90,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0001.tif,784,283
Plate01_2012-06-11_91,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0001.tif,642,337
Plate01_2012-06-11_92,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0001.tif,665,368
Plate01_2012-06-11_93,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0001.tif,637,516
Plate01_2012-06-11_94,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0001.tif,865,515
Plate01_2012-06-11_96,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0001.tif,673,555
Plate01_2012-06-11_97,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0001.tif,636,564
Plate01_2012-06-11_98,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0001.tif,553,588
Plate01_2012-06-11_99,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0001.tif,257,681
Plate01_2012-06-11_311,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0002.tif,203,54
Plate01_2012-06-11_312,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0002.tif,702,101
Plate01_2012-06-11_313,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0002.tif,729,126
Plate01_2012-06-11_314,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0002.tif,755,538
Plate01_2012-06-11_315,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0002.tif,621,742
Plate01_2012-06-11_537,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0003.tif,390,56
Plate01_2012-06-11_538,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0003.tif,359,89
Plate01_2012-06-11_540,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0003.tif,686,295
Plate01_2012-06-11_541,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0003.tif,452,356
Plate01_2012-06-11_542,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0003.tif,410,364
Plate01_2012-06-11_543,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0003.tif,274,386
Plate01_2012-06-11_544,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0003.tif,272,430
Plate01_2012-06-11_545,gi-766,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1AB-SlaGSacT-2012-06-11/Meas_01(2012-06-11_11-29-28)/MID-C2-001022000-0003.tif,1016,710
Plate01_2012-06-11_285,gi-780,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1CD-SlaGSacT-2012-06-11/Meas_01(2012-06-11_13-08-55)/MID-C2-016022000-0001.tif,862,34
Plate01_2012-06-11_286,gi-780,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1CD-SlaGSacT-2012-06-11/Meas_01(2012-06-11_13-08-55)/MID-C2-016022000-0001.tif,576,81
Plate01_2012-06-11_287,gi-780,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1CD-SlaGSacT-2012-06-11/Meas_01(2012-06-11_13-08-55)/MID-C2-016022000-0001.tif,612,99
Plate01_2012-06-11_288,gi-780,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1CD-SlaGSacT-2012-06-11/Meas_01(2012-06-11_13-08-55)/MID-C2-016022000-0001.tif,96,177
Plate01_2012-06-11_289,gi-780,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1CD-SlaGSacT-2012-06-11/Meas_01(2012-06-11_13-08-55)/MID-C2-016022000-0001.tif,318,212
Plate01_2012-06-11_290,gi-780,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1CD-SlaGSacT-2012-06-11/Meas_01(2012-06-11_13-08-55)/MID-C2-016022000-0001.tif,665,247
Plate01_2012-06-11_291,gi-780,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1CD-SlaGSacT-2012-06-11/Meas_01(2012-06-11_13-08-55)/MID-C2-016022000-0001.tif,673,282
Plate01_2012-06-11_292,gi-780,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1CD-SlaGSacT-2012-06-11/Meas_01(2012-06-11_13-08-55)/MID-C2-016022000-0001.tif,765,367
Plate01_2012-06-11_293,gi-780,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1CD-SlaGSacT-2012-06-11/Meas_01(2012-06-11_13-08-55)/MID-C2-016022000-0001.tif,346,413
Plate01_2012-06-11_294,gi-780,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1CD-SlaGSacT-2012-06-11/Meas_01(2012-06-11_13-08-55)/MID-C2-016022000-0001.tif,363,452
Plate01_2012-06-11_295,gi-780,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1CD-SlaGSacT-2012-06-11/Meas_01(2012-06-11_13-08-55)/MID-C2-016022000-0001.tif,238,451
Plate01_2012-06-11_296,gi-780,/home/morphology/mojca/OD_methods_comparison/Sac6_Endo/Sac6/2012-06-11/P01/RFP/1CD-SlaGSacT-2012-06-11/Meas_01(2012-06-11_13-08-55)/MID-C2-016022000-0001.tif,314,453
